0_5bjp_E_S000001,-119.6,27.2,12.24
0_5bjp_E_S000002,-122.3,51.5,10.15
0_5bjp_E_S000003,-127.6,55.0,10.74
0_5bjp_E_S000004,-143.3,44.0,10.53
0_5bjp_E_S000005,-143.5,45.2,11.63
0_5bjp_E_S000006,-138.9,38.6,10.62
0_5bjp_E_S000007,-151.1,20.0,10.41
0_5bjp_E_S000008,-150.7,37.2,10.72
0_5bjp_E_S000009,-139.7,54.3,9.87
0_5bjp_E_S000010,-169.9,31.2,10.97
0_5bjp_E_S000011,-144.3,47.9,10.16
0_5bjp_E_S000012,-147.3,25.2,10.42
0_5bjp_E_S000013,-59.5,79.6,10.01
0_5bjp_E_S000014,-155.2,36.3,10.51
0_5bjp_E_S000015,-137.1,21.7,10.72
0_5bjp_E_S000016,-26.8,78.8,10.97
0_5bjp_E_S000017,-8.5,95.1,12.26
0_5bjp_E_S000018,-127.7,49.7,10.77
0_5bjp_E_S000019,-146.4,22.4,9.87
0_5bjp_E_S000020,-145.5,18.0,10.01
1_5bjp_E_S000001,-135.7,22.5,10.26
1_5bjp_E_S000002,-135.2,40.2,10.70
1_5bjp_E_S000003,-152.4,39.3,10.45
1_5bjp_E_S000004,-150.5,37.6,11.62
1_5bjp_E_S000005,-143.3,41.3,12.15
1_5bjp_E_S000006,-149.4,31.5,12.34
1_5bjp_E_S000007,6.5,85.2,12.70
1_5bjp_E_S000008,-139.4,37.5,10.74
1_5bjp_E_S000009,-139.8,46.4,10.44
1_5bjp_E_S000010,-109.7,63.6,11.08
1_5bjp_E_S000011,-145.2,25.2,10.53
1_5bjp_E_S000012,-140.3,38.8,9.40
1_5bjp_E_S000013,-154.3,50.9,13.37
1_5bjp_E_S000014,-137.7,42.2,10.36
1_5bjp_E_S000015,15.6,80.3,9.84
1_5bjp_E_S000016,-149.7,41.0,10.48
1_5bjp_E_S000017,-157.8,22.8,10.23
1_5bjp_E_S000018,-149.1,28.8,10.54
1_5bjp_E_S000019,-142.7,34.1,11.50
1_5bjp_E_S000020,-169.3,28.9,9.80
2_5bjp_E_S000001,-48.1,106.6,12.53
2_5bjp_E_S000002,-71.0,99.0,12.47
2_5bjp_E_S000003,-90.2,88.3,9.22
2_5bjp_E_S000004,-136.2,57.6,12.11
2_5bjp_E_S000005,-107.7,90.1,11.39
2_5bjp_E_S000006,-153.6,25.7,11.09
2_5bjp_E_S000007,-131.6,50.8,10.53
2_5bjp_E_S000008,-147.6,29.8,10.54
2_5bjp_E_S000009,-145.2,37.1,11.10
2_5bjp_E_S000010,-141.3,35.9,10.50
2_5bjp_E_S000011,-96.3,64.2,11.63
2_5bjp_E_S000012,-137.0,44.8,10.69
2_5bjp_E_S000013,-132.1,49.0,10.03
2_5bjp_E_S000014,-132.6,44.3,10.15
2_5bjp_E_S000015,-162.3,34.5,9.86
